,close,signal,pnl,cumulative_return
449,18927.34,0,0.00,1.00
450,18755.93,0,0.00,1.00
451,18819.80,0,0.00,1.00
452,18894.54,0,0.00,1.00
453,19942.21,0,0.00,1.00
454,20295.08,0,0.00,1.00
455,20416.46,0,0.00,1.00
456,20300.69,0,0.00,1.00
457,19730.76,0,0.00,1.00
458,19409.23,0,0.00,1.00
459,19465.37,0,0.00,1.00
460,19401.67,0,0.00,1.00
461,19579.11,0,0.00,1.00
462,19524.57,0,0.00,1.00
463,19424.45,0,0.00,1.00
464,19070.56,0,0.00,1.00
465,19191.03,0,0.00,1.00
466,19288.12,0,0.00,1.00
467,19450.24,0,0.00,1.00
468,19408.92,0,0.00,1.00
469,19290.94,0,0.00,1.00
470,19347.96,0,0.00,1.00
471,19487.94,0,0.00,1.00
472,19440.28,0,0.00,1.00
473,19390.17,0,0.00,1.00
474,19431.77,0,0.00,1.00
475,19397.02,0,0.00,1.00
476,19300.62,0,0.00,1.00
477,19279.80,0,0.00,1.00
478,19179.58,0,0.00,1.00
479,19229.98,0,0.00,1.00
480,19197.58,0,0.00,1.00
481,19130.90,0,0.00,1.00
482,19195.88,0,0.00,1.00
483,19238.26,0,0.00,1.00
484,19216.69,0,0.00,1.00
485,19126.81,0,0.00,1.00
486,19113.83,0,0.00,1.00
487,19170.15,0,0.00,1.00
488,19240.34,0,0.00,1.00
489,19195.21,0,0.00,1.00
490,19344.57,0,0.00,1.00
491,19266.64,0,0.00,1.00
492,19283.33,0,0.00,1.00
493,19229.39,0,0.00,1.00
494,19294.03,0,0.00,1.00
495,19299.36,0,0.00,1.00
496,19320.15,0,0.00,1.00
497,19273.27,0,0.00,1.00
498,19263.30,0,0.00,1.00
499,19355.24,0,0.00,1.00
500,19331.34,0,0.00,1.00
501,19252.81,0,0.00,1.00
502,19246.54,0,0.00,1.00
503,19189.31,0,0.00,1.00
504,19261.41,0,0.00,1.00
505,19264.29,0,0.00,1.00
506,19263.59,0,0.00,1.00
507,19043.60,0,0.00,1.00
508,19150.00,0,0.00,1.00
509,19139.74,0,0.00,1.00
510,19014.88,0,0.00,1.00
511,19042.27,0,0.00,1.00
512,19072.03,0,0.00,1.00
513,19089.80,0,0.00,1.00
514,19069.51,0,0.00,1.00
515,18977.22,0,0.00,1.00
516,19078.94,0,0.00,1.00
517,19046.78,0,0.00,1.00
518,19157.23,0,0.00,1.00
519,19221.77,0,0.00,1.00
520,19236.74,0,0.00,1.00
521,19492.16,0,0.00,1.00
522,19445.43,0,0.00,1.00
523,19300.92,0,0.00,1.00
524,19299.99,0,0.00,1.00
525,19315.83,0,0.00,1.00
526,19263.40,0,0.00,1.00
527,19226.60,0,0.00,1.00
528,19072.49,0,0.00,1.00
529,19103.54,0,0.00,1.00
530,19125.19,0,0.00,1.00
531,19137.19,0,0.00,1.00
532,19101.42,0,0.00,1.00
533,19120.60,0,0.00,1.00
534,19147.25,0,0.00,1.00
535,19367.05,0,0.00,1.00
536,19470.65,0,0.00,1.00
537,19806.49,0,0.00,1.00
538,19712.80,0,0.00,1.00
539,19530.55,0,0.00,1.00
540,19609.71,0,0.00,1.00
541,19801.47,0,0.00,1.00
542,19740.96,0,0.00,1.00
543,19899.41,0,0.00,1.00
544,19930.71,1,0.00,1.00
545,19829.99,0,-100.72,0.99
546,19782.79,0,-100.72,0.99
547,19958.75,1,0.00,0.99
548,20163.67,1,204.92,0.99
549,20236.71,1,277.96,0.99
550,20395.59,1,436.84,0.99
551,20299.14,1,340.39,0.99
552,20173.87,1,215.12,0.99
553,20312.98,1,354.23,0.99
554,20272.38,1,313.63,0.99
555,20296.30,1,337.55,0.99
556,20387.81,1,429.06,0.99
557,20215.69,0,256.94,1.01
558,19894.92,0,256.94,1.01
559,19770.30,0,256.94,1.01
560,19740.94,0,256.94,1.01
561,19520.39,0,256.94,1.01
562,19373.75,0,256.94,1.01
563,19403.35,0,256.94,1.01
564,19464.53,0,256.94,1.01
565,19519.98,0,256.94,1.01
566,19552.40,0,256.94,1.01
567,19703.85,0,256.94,1.01
568,20117.50,0,256.94,1.01
569,20398.21,1,0.00,1.01
570,20458.93,1,60.72,1.01
571,20373.12,0,-25.09,1.01
572,20435.25,0,-25.09,1.01
573,20175.83,0,-25.09,1.01
574,20261.88,0,-25.09,1.01
575,19877.48,0,-25.09,1.01
576,19860.60,0,-25.09,1.01
577,19951.47,0,-25.09,1.01
578,20098.75,0,-25.09,1.01
579,20048.08,0,-25.09,1.01
580,20089.67,0,-25.09,1.01
581,20162.22,0,-25.09,1.01
582,20184.57,0,-25.09,1.01
583,20202.75,0,-25.09,1.01
584,20132.99,0,-25.09,1.01
585,20103.43,0,-25.09,1.01
586,20154.77,0,-25.09,1.01
587,20228.36,0,-25.09,1.01
588,20198.56,0,-25.09,1.01
589,20148.86,0,-25.09,1.01
590,20301.84,0,-25.09,1.01
591,20266.09,0,-25.09,1.01
592,20383.36,0,-25.09,1.01
593,20328.55,0,-25.09,1.01
594,20399.74,0,-25.09,1.01
595,20354.91,0,-25.09,1.01
596,20513.76,0,-25.09,1.01
597,20564.51,0,-25.09,1.01
598,20533.49,0,-25.09,1.01
599,20515.63,0,-25.09,1.01
600,20419.98,0,-25.09,1.01
601,20480.61,0,-25.09,1.01
602,20416.42,0,-25.09,1.01
603,20302.18,0,-25.09,1.01
604,20339.18,0,-25.09,1.01
605,20440.01,0,-25.09,1.01
606,20523.09,0,-25.09,1.01
607,20559.15,0,-25.09,1.01
608,20502.08,0,-25.09,1.01
609,20507.83,0,-25.09,1.01
610,20428.59,0,-25.09,1.01
611,20539.87,0,-25.09,1.01
612,20918.97,0,-25.09,1.01
613,20888.44,0,-25.09,1.01
614,21093.04,1,0.00,1.01
615,20910.65,0,-182.39,1.00
616,21357.71,1,0.00,1.00
617,21812.47,1,454.76,1.00
618,21624.03,1,266.32,1.00
619,21667.99,1,310.28,1.00
620,21628.17,1,270.46,1.00
621,21624.98,1,267.27,1.00
622,21724.73,1,367.02,1.00
623,22137.21,1,779.50,1.00
624,21990.20,1,632.49,1.00
625,22130.56,1,772.85,1.00
626,21982.43,1,624.72,1.00
627,21843.33,0,485.62,1.02
628,21826.13,0,485.62,1.02
629,21797.64,0,485.62,1.02
630,21436.79,0,485.62,1.02
631,21568.85,0,485.62,1.02
632,21536.54,0,485.62,1.02
633,21583.98,0,485.62,1.02
634,21380.00,0,485.62,1.02
635,21272.60,0,485.62,1.02
636,21769.09,0,485.62,1.02
637,21962.52,0,485.62,1.02
638,21689.36,0,485.62,1.02
639,21767.47,0,485.62,1.02
640,21736.26,0,485.62,1.02
641,21811.90,0,485.62,1.02
642,21855.41,0,485.62,1.02
