timestamp,price,signal,shares,cash,equity,position,trade_type,trade_pnl
224,21299.27,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
225,20962.42,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
226,21106.2,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
227,21619.31,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
228,21590.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
229,21392.19,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
230,21401.52,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
231,21242.94,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
232,21100.01,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
233,20888.64,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
234,20859.86,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
235,20972.91,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
236,20897.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
237,20723.52,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
238,20587.01,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
239,20411.24,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
240,20466.47,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
241,20317.88,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
242,20435.08,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
243,20368.76,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
244,20112.97,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
245,20099.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
246,20235.07,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
247,20428.56,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
248,20419.23,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
249,20506.3,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
250,20365.5,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
251,20723.95,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
252,20693.98,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
253,20080.1,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
254,20322.73,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
255,20267.42,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
256,20218.15,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
257,20117.34,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
258,19879.97,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
259,20005.3,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
260,20103.32,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
261,19987.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
262,20419.14,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
263,20375.49,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
264,20363.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
265,20213.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
266,20357.17,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
267,20349.16,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
268,20548.51,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
269,20461.83,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
270,20576.66,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
271,20746.4,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
272,20699.54,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
273,20638.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
274,20563.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
275,20459.94,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
276,20609.71,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
277,20351.91,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
278,20284.28,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
279,20319.32,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
280,20431.92,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
281,20910.06,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
282,20815.25,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
283,20687.76,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
284,20991.75,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
285,21110.13,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
286,21007.18,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
287,21047.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
288,21173.46,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
289,21073.73,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
290,21050.15,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
291,20910.89,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
292,20842.16,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
293,20913.72,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
294,21053.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
295,20824.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
296,20995.36,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
297,21169.53,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
298,21215.25,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
299,21199.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
300,21120.78,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
301,20884.17,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
302,21044.61,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
303,20972.4,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
304,21126.61,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
305,21253.61,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
306,21200.42,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
307,21317.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
308,21310.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
309,21237.69,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
310,21194.12,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
311,21331.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
312,21177.36,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
